Neighborhood,Community District
ALPHABET CITY,MN03
CHELSEA,MN04
CHINATOWN,MN01
CIVIC CENTER,MN02
CLINTON,MN05
EAST VILLAGE,MN06
FASHION,MN05
FINANCIAL,MN01
FLATIRON,MN05
GRAMERCY,MN06
GREENWICH VILLAGE-CENTRAL,MN02
GREENWICH VILLAGE-WEST,MN02
HARLEM-CENTRAL,MN10
HARLEM-EAST,MN11
HARLEM-UPPER,MN12
HARLEM-WEST,MN09
INWOOD,MN12
JAVITS CENTER,MN04
KIPS BAY,MN06
LITTLE ITALY,MN01
LOWER EAST SIDE,MN03
MANHATTAN VALLEY,MN07
MIDTOWN CBD,MN05
MIDTOWN EAST,MN06
MIDTOWN WEST,MN05
MORNINGSIDE HEIGHTS,MN09
MURRAY HILL,MN06
ROOSEVELT ISLAND,MN08
SOHO,MN02
SOUTHBRIDGE,MN01
TRIBECA,MN01
UPPER EAST SIDE (59-79),MN08
UPPER EAST SIDE (79-96),MN08
UPPER EAST SIDE (96-110),MN08
UPPER WEST SIDE (59-79),MN07
UPPER WEST SIDE (79-96),MN07
UPPER WEST SIDE (96-116),MN07
WASHINGTON HEIGHTS LOWER,MN12
WASHINGTON HEIGHTS UPPER,MN12
BATHGATE,BX05
BAYCHESTER,BX12
BEDFORD PARK/NORWOOD,BX07
BELMONT,BX06
BRONX PARK,BX08
BRONXDALE,BX08
CASTLE HILL/UNIONPORT,BX09
CITY ISLAND,BX10
CITY ISLAND-PELHAM STRIP,BX10
CO-OP CITY,BX11
COUNTRY CLUB,BX10
CROTONA PARK,BX06
EAST TREMONT,BX06
FIELDSTON,BX08
FORDHAM,BX05
HIGHBRIDGE/MORRIS HEIGHTS,BX04
HUNTS POINT,BX02
KINGSBRIDGE HTS/UNIV HTS,BX07
KINGSBRIDGE/JEROME PARK,BX07
MELROSE/CONCOURSE,BX04
MORRIS PARK/VAN NEST,BX12
MORRISANIA/LONGWOOD,BX03
MOTT HAVEN/PORT MORRIS,BX01
MOUNT HOPE/MOUNT EDEN,BX04
PARKCHESTER,BX09
PELHAM GARDENS,BX11
PELHAM PARKWAY NORTH,BX11
PELHAM PARKWAY SOUTH,BX11
RIVERDALE,BX08
SCHUYLERVILLE/PELHAM BAY,BX10
SOUNDVIEW,BX09
